Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
1,Petroleum Engineering,Bachelors,92300,182000,69
2,Electrical Engineering & Computer Science (EECS),Bachelors,101200,152300,46
3,Applied Economics and Management,Bachelors,60900,139600,67
3,Operations Research,Bachelors,78400,139600,52
5,Public Accounting,Bachelors,60000,138800,49
6,Chemical Engineering/Materials Science & Engineering,Bachelors,74500,137800,60
7,Quantitative Business Analysis,Bachelors,67900,136200,55
8,Pharmacy,Bachelors,66300,133200,79
9,Aeronautics & Astronautics,Bachelors,74000,133100,60
10,Systems Engineering,Bachelors,74000,132900,54
11,Electrical Power Engineering,Bachelors,73100,130700,67
12,Actuarial Mathematics,Bachelors,61900,130500,50
13,Aerospace Studies,Bachelors,50300,130300,-
14,Chemical Engineering,Bachelors,73500,128900,56
15,Actuarial Science,Bachelors,64700,128700,42
16,Information & Computer Science,Bachelors,70300,127600,60
17,Aeronautical Engineering,Bachelors,71600,125900,64
18,Operations & Information Systems Management,Bachelors,63800,125100,31
18,Political Economy,Bachelors,58200,125100,34
20,Marine Engineering,Bachelors,74700,125000,64
21,Computer Systems Engineering,Bachelors,74600,124800,49
22,Nuclear Engineering,Bachelors,73100,124500,63
23,Computer Science (CS) & Engineering,Bachelors,74000,124000,44
24,Corporate Accounting & Finance,Bachelors,61200,123600,57
25,Electrical & Computer Engineering (ECE),Bachelors,73900,123300,49
26,Computer Engineering (CE),Bachelors,74600,123200,46
27,Econometrics,Bachelors,60700,123000,30
28,Building Science,Bachelors,51100,122500,51
29,Mechatronics,Bachelors,70200,122300,47
30,Quantitative Economics,Bachelors,62000,121900,45
31,Foreign Affairs,Bachelors,52200,121800,40
31,Welding Engineering,Bachelors,76900,121800,44
33,Economics and Mathematics,Bachelors,65000,121400,33
33,Electrical Engineering (EE),Bachelors,71800,121400,55
35,Cognitive Science,Bachelors,64100,121100,41
35,Control Engineering,Bachelors,69900,121100,63
37,Geophysics,Bachelors,56900,120600,46
37,Pharmacology,Bachelors,55000,120600,71
39,Instrumentation & Control Engineering,Bachelors,69000,120500,-
40,Computational & Applied Mathematics,Bachelors,69700,120100,43
40,Marine Transportation Management,Bachelors,67800,120100,47
42,Aerospace Engineering,Bachelors,70700,119800,57
43,Ocean Engineering (OE),Bachelors,65100,119700,51
44,Astronomy,Bachelors,54300,119600,39
44,Mechanical & Aeronautical Engineering,Bachelors,66900,119600,60
46,Chemical & Biomolecular Engineering,Bachelors,74000,118700,48
47,Computer Science (CS) & Mathematics,Bachelors,66800,118500,43
48,Bioscience,Bachelors,48400,118300,-
49,Electrical & Electronics Engineering (EEE),Bachelors,71300,118100,55
50,Metallurgical Engineering,Bachelors,79100,117700,55
51,Aeronautical/Aerospace Engineering Technology,Bachelors,73400,117500,58
51,Materials Engineering,Bachelors,69100,117500,48
53,Accounting & Economics,Bachelors,61600,117400,43
54,Industrial & Systems Engineering,Bachelors,69900,117300,49
55,Optical Science & Engineering,Bachelors,67600,117100,65
56,Computer Science (CS),Bachelors,70700,116500,42
57,Biomedical Engineering (BME),Bachelors,67700,116300,72
58,Materials Science,Bachelors,62700,116200,-
59,Electronics & Communications Engineering,Bachelors,61500,116100,55
59,Mining Engineering,Bachelors,75200,116100,70
61,Engineering,Bachelors,66500,116000,59
62,Applied Mathematics,Bachelors,64400,115500,39
62,Integrated Science & Technology,Bachelors,62500,115500,56
64,Petroleum Land Management,Bachelors,60600,115400,70
65,Bioengineering (BioE),Bachelors,67400,115000,67
66,Software Engineering,Bachelors,71100,114700,42
67,Operations Management & Information Systems,Bachelors,61900,114500,39
68,Statistics,Bachelors,63700,114400,42
69,Business Analysis,Bachelors,59200,114300,49
69,Computer & Information Science,Bachelors,60100,114300,55
71,Physics,Bachelors,62300,113800,49
72,Physics & Mathematics,Bachelors,61500,113600,47
73,Physics & Astronomy,Bachelors,54000,112900,43
74,Construction Engineering Management,Bachelors,64800,112700,55
75,Physician Assistant Studies,Bachelors,92900,112200,86
76,Mechanical Engineering (ME),Bachelors,67600,111500,51
77,Industrial Engineering (IE),Bachelors,68300,111400,45
78,Entrepreneurship & Marketing,Bachelors,48500,111100,49
78,Engineering Science,Bachelors,64700,111100,45
78,International Business & Finance,Bachelors,57700,111100,42
78,Materials Science & Engineering,Bachelors,69200,111100,47
82,Ceramic Engineering,Bachelors,66300,110900,45
82,International Economics,Bachelors,54600,110900,49
84,Information & Decision Sciences,Bachelors,60600,110800,37
85,Finance & Marketing,Bachelors,53400,110700,45
86,Telecommunications Engineering,Bachelors,59800,110600,43
87,Business & Economics,Bachelors,56800,110500,44
88,Mathematics & Statistics,Bachelors,59800,110000,42
89,Paper Science,Bachelors,72400,109900,38
90,Electronics Engineering,Bachelors,67600,109700,61
90,Engineering Physics,Bachelors,66700,109700,48
90,Industrial Distribution,Bachelors,60700,109700,49
93,Economics,Bachelors,58200,109400,41
94,Energy Management,Bachelors,64000,109200,66
94,Structural Engineering (SE),Bachelors,64300,109200,66
96,Managerial Economics,Bachelors,61500,109100,41
97,Automotive Engineering,Bachelors,60500,108700,-
97,Business & Information Technology (IT),Bachelors,58200,108700,46
97,Japanese Language,Bachelors,50000,108700,41
100,Japanese Studies,Bachelors,49200,108500,22
101,Finance & Economics,Bachelors,59800,108100,42
102,Management Information Systems (MIS),Bachelors,61200,107800,43
103,Pharmaceutical Sciences (PS),Bachelors,50200,107700,69
104,Mechanical,Bachelors,66800,107600,55
105,Applied Physics,Bachelors,63800,107500,56
105,Information Management,Bachelors,61300,107500,42
107,Aeronautical Science & Engineering,Bachelors,54300,107100,63
108,Construction Project Management,Bachelors,57400,107000,59
108,Packaging Science,Bachelors,66800,107000,37
110,Industrial Engineering & Management,Bachelors,63200,106900,57
111,Asian Studies,Bachelors,44000,106400,39
111,Management Science,Bachelors,60500,106400,41
113,Accounting & Taxation,Bachelors,53300,105700,43
114,Manufacturing Engineering,Bachelors,65800,105600,48
115,Astrophysics,Bachelors,64100,105400,65
116,Engineering Management,Bachelors,65800,105200,55
117,Business Economics,Bachelors,54900,105100,42
117,Information Sciences and Technology,Bachelors,60700,105100,40
119,Information Systems Management,Bachelors,57600,104800,44
120,Finance & Investments,Bachelors,60500,104400,41
121,Environmental Health & Safety Management,Bachelors,58300,104200,64
121,Rhetoric,Bachelors,49400,104200,46
121,Strategic Management,Bachelors,62800,104200,45
124,Robotics & Automation,Bachelors,66500,104100,-
125,Building Construction (BC),Bachelors,63600,104000,52
126,Accounting & Computer Systems,Bachelors,60200,103800,42
126,Construction Science,Bachelors,64000,103800,63
128,Polymer Science & Engineering,Bachelors,69200,103700,27
129,Computing,Bachelors,59800,103500,50
129,Information Security & Assurance,Bachelors,60600,103500,41
129,Civil Engineering (CE),Bachelors,61700,103500,65
132,Mathematics,Bachelors,59600,103400,45
132,Government,Bachelors,52200,103400,49
134,Biochemistry & Molecular Biology,Bachelors,50500,103300,70
134,Information Technology Management,Bachelors,59300,103300,48
136,Finance & Real Estate,Bachelors,58600,103200,45
137,Construction Engineering,Bachelors,64500,103100,57
138,Business Logistics & Transportation,Bachelors,54900,102900,48
138,Construction Management,Bachelors,59700,102900,58
140,Aeronautical Science,Bachelors,55300,102800,57
141,Computer Management Information Systems (CMIS),Bachelors,54300,102600,46
142,Software Applications & Programming,Bachelors,56400,102500,37
143,Financial Economics,Bachelors,60600,102300,44
144,Marketing & International Business,Bachelors,49700,102200,35
145,Informatics,Bachelors,66200,101900,41
145,Medicine,Bachelors,75500,101900,84
147,Civil & Environmental Engineering,Bachelors,61800,101800,67
148,Atmospheric Science,Bachelors,47300,101600,55
149,Environmental Engineering,Bachelors,59500,101300,64
150,European Studies,Bachelors,45200,101200,47
150,Nuclear Engineering Technology (NET),Bachelors,78200,101200,60
152,Industrial Management,Bachelors,55100,101000,55
152,Information Systems (IS),Bachelors,59900,101000,45
154,Sales & Business Marketing,Bachelors,52600,100800,49
155,Business Computer Information Systems (BCIS),Bachelors,60200,100700,36
155,Organic Chemistry,Bachelors,46000,100700,-
157,Business Operations,Bachelors,60500,100600,-
158,Business Computer Science,Bachelors,50200,100500,-
159,Business Finance,Bachelors,54600,100300,43
159,Safety Science,Bachelors,58800,100300,-
161,Plastics Engineering Technology,Bachelors,63800,100200,31
162,Business Information Systems,Bachelors,61700,100100,44
163,International Management,Bachelors,49300,99900,52
164,Finance,Bachelors,56800,99800,41
165,Agricultural Economics,Bachelors,53000,99700,59
