id,version,set_num
1,1,7922-1
3,1,3931-1
4,1,6942-1
15,1,5158-1
16,1,903-1
17,1,850950-1
19,1,4444-1
21,1,3474-1
22,1,30277-1
25,1,71012-11
26,1,6435-1
27,1,3055-1
28,1,7899-1
30,1,40107-1
31,1,14-4
33,1,6356-1
34,1,71017-20
35,1,5004559-1
36,1,1756-1
37,1,8931-1
38,1,9385-1
39,1,66512-1
40,1,6963-1
42,1,850760-1
43,1,2000424-1
45,1,40109-1
49,1,10071-1
50,1,K4520-1
52,1,6378-1
54,1,4284-1
55,1,6711-1
56,1,4768-2
58,1,75060-1
60,1,1390-1
61,1,10128-1
62,1,30300-1
63,1,6981-1
64,1,6424-1
65,1,5920-1
67,1,6577-1
68,1,8103-1
69,1,2850829-1
70,1,483-5
71,1,K7690-1
73,1,70812-1
74,1,6913-1
76,1,10189-1
80,1,5827-1
81,1,65340-1
82,1,4309-1
83,1,4888-1
84,1,6909-1
86,1,525-1
87,1,5001925-1
88,1,6455-1
89,1,75094-1
91,1,9483-1
92,1,6386-1
94,1,8108-1
96,1,10008-1
98,1,2856226-1
99,1,521-15
100,1,71217-1
101,1,8302-1
102,1,8803-5
103,1,4411-1
104,1,K4103-1
105,1,6579-1
106,1,71007-6
110,1,657-1
111,1,991451-1
112,1,4748-1
113,1,3027-1
115,1,6167-1
116,1,561508-1
118,1,4449-1
119,1,323-1
122,1,66177-1
123,1,41135-1
125,1,2158-1
126,1,970654-1
127,1,2156-1
128,1,4094-1
131,1,66358-1
132,1,6523-1
136,1,8223-1
137,1,30301-1
138,1,520-13
140,1,508-1
142,1,3420-1
143,1,7138-1
145,1,41562-1
146,1,18703535-1
147,1,1141-1
148,1,76008-1
151,1,7048-1
152,1,76015-1
153,1,60018-1
154,1,3859-1
155,1,10175-1
158,1,702-3
159,1,7740-1
162,1,5645-1
163,1,30314-1
164,1,238-1
165,1,2852724-1
166,1,6745-1
168,1,1701-1
170,1,8831-0
171,1,610-1
172,1,8678-1
173,1,41065-1
174,1,30286-1
175,1,8622-1
177,1,8121-1
179,1,1413-1
180,1,7511-1
182,1,8833-7
183,1,435-1
186,1,60134-1
187,1,9749-1
188,1,21206-1
191,1,4559387-1
192,1,5831-1
194,1,comcon017-1
197,1,9871-1
198,1,21017-1
199,1,70209-1
203,1,Austin-1
204,1,20205-1
206,1,5974-1
207,1,40092-1
208,1,342-1
209,1,970600-1
210,1,6395-1
211,1,1136-1
212,1,6585-1
214,1,3715-1
215,1,7875-1
216,1,1089-1
217,1,6328-1
218,1,60034-1
220,1,2848-1
221,1,1248-1
222,1,8240-1
224,1,71017-1
225,1,5391-1
226,1,391412-1
229,1,1966-1
232,1,2152-1
233,1,30281-1
234,1,75046-1
236,1,40080-1
238,1,6695-1
239,1,21114-1
240,1,1821-1
242,1,6118-1
243,1,71220-1
245,1,7662-1
246,1,4098-1
248,1,20019-1
250,1,5808-1
251,1,3886-3
253,1,5004267-1
254,1,8812-1
256,1,630-1
258,1,8683-4
259,1,70137-1
262,1,7953-1
263,1,7575-1
265,1,NUREMBERG-1
267,1,40204-1
268,1,6007-1
269,1,60067-1
272,1,10528-1
274,1,31-2
275,1,4426075-1
276,1,8684-3
279,1,21008-1
280,1,9614-1
282,1,850935-1
284,1,588-1
285,1,851003-1
293,1,4696-1
294,1,71005-4
295,1,lfv2-1
297,1,10700-1
299,1,71236-1
300,1,3482-1
301,1,1462-1
302,1,75033-1
303,1,6825-1
304,1,6687-1
305,1,6299-1
307,1,3746-1
308,1,4653-1
309,1,K4515-1
310,1,5036-1
311,1,10201-1
312,1,2250-1
313,1,7885-1
315,1,816-1
316,1,20208-1
317,1,9-2
319,1,6479-1
321,1,3641-1
322,1,221-2
323,1,8010-1
324,1,39-1
325,1,3300014-1
326,1,1294-1
327,1,7216-1
328,1,4416-1
330,1,10222-1
331,1,954-1
332,1,4758-1
333,1,813-1
334,1,71011-9
335,1,659-1
336,1,10680-1
337,1,1499-1
338,1,8942-2
345,1,40021-1
347,1,911618-1
348,1,7165-1
349,1,9462-1
350,1,6989-1
352,1,520-12
353,1,5105-1
354,1,7315-1
355,1,4281-1
356,1,970630-1
357,1,9553-1
358,1,42036-1
361,1,970617-1
362,1,8649-1
363,1,837-1
364,1,1419-1
369,1,71005-15
371,1,8593-1
372,1,3833-1
373,1,6734-1
374,1,6470-1
375,1,40082-1
376,1,315-2
377,1,851210-1
378,1,71001-8
379,1,3451-1
380,1,9853-1
382,1,5877-1
384,1,9825-1
385,1,6685-1
388,1,727-1
389,1,6758-1
390,1,4576-1
392,1,7219-1
393,1,9222-1
394,1,4551-1
395,1,7888-1
397,1,71014-15
398,1,71010-17
401,1,40195-1
402,1,114-2
403,1,76050-1
405,1,970663-1
406,1,8738-1
407,1,9857-1
409,1,76036-1
410,1,3494-1
411,1,6678-1
412,1,70005-1
415,1,MS1032-1
416,1,1690-1
419,1,7172-1
422,1,6472-1
423,1,60096-1
424,1,710-6
427,1,7957-1
429,1,2027-1
431,1,70707-1
432,1,60139-1
433,1,8083-1
434,1,70600-1
436,1,6969-1
437,1,60069-1
438,1,561511-1
440,1,852737-1
441,1,6247-1
442,1,5967-1
443,1,30190-1
444,1,60002-1
445,1,102A-1
446,1,6890-1
447,1,60144-1
448,1,8369-1
451,1,5166-1
452,1,1807-1
454,1,6212-1
457,1,75127-1
459,1,9089-1
460,1,LLCA52-1
461,1,310-5
465,1,6077-2
466,1,507-1
467,1,6928-1
468,1,79104-3
470,1,310-3
472,1,5925-1
473,1,65813-1
474,1,813-2
475,1,400-1
477,1,9677-1
479,1,1796-1
480,1,8028-1
481,1,70786-1
482,1,6038-1
483,1,455-1
484,1,5766-1
485,1,750-1
486,1,3920-1
488,1,685-1
489,1,4618-1
491,1,6404-1
492,1,312-4
496,1,K34434-1
497,1,42002-1
498,1,6522-1
499,1,167-1
500,1,5001307-1
502,1,40081-4
503,1,4591715-1
504,1,9831-1
505,1,10228-1
506,1,8898-1
508,1,292-1
511,1,4867-1
512,1,8398-1
515,1,KT105-1
516,1,329-1
517,1,4451-1
518,1,6573-1
521,1,6162-1
523,1,8039-1
525,1,VP-12
526,1,7271-1
528,1,1997-1
531,1,214.6-1
532,1,7111-1
533,1,B002-1
534,1,851005-1
537,1,700.B.2-1
539,1,9731-1
540,1,4939-1
541,1,10737-1
542,1,5082-1
544,1,10725-1
545,1,4610-1
546,1,41567-1
547,1,71012-2
549,1,3040-1
550,1,5402-1
551,1,4063-1
552,1,5284-1
554,1,7606-1
556,1,911508-1
557,1,3409-1
558,1,21120-1
560,1,5002045-1
561,1,K4516-1
565,1,337-1
566,1,245-1
567,1,70140-1
570,1,9393-1
571,1,7870-1
575,1,5621-1
576,1,71001-4
577,1,6860-1
578,1,5490-1
579,1,4277206-1
580,1,K3409-1
581,1,70794-1
582,1,3447-1
583,1,6058324-1
586,1,30121-1
587,1,6731-1
589,1,71004-6
590,1,70206-1
591,1,75074-1
592,1,10059-1
593,1,4857-1
594,1,8903-1
595,1,4103-2
597,1,45303-1
599,1,9678-1
601,1,6361-1
603,1,30071-1
604,1,4876-1
605,1,71247-1
607,1,B003-1
608,1,9826-1
609,1,5276-1
610,1,1610-1
612,1,445062-1
613,1,30229-1
614,1,66444-1
618,1,6389-1
620,1,10679-1
621,1,75059-1
622,1,70319-1
623,1,4541-1
624,1,6750-1
625,1,40005-1
627,1,4905-1
629,1,852997-1
630,1,5318-1
631,1,851441
635,1,915-1
637,1,7256-1
639,1,8785483-1
640,1,1554-1
641,1,4210-1
646,1,3225-1
647,1,2263-1
653,1,71010-2
654,1,8601-2
655,1,41071-1
656,1,44025-1
658,1,9883-1
659,1,3383-1
660,1,4059-1
661,1,8652-1
662,1,7170-2
663,1,10048-1
667,1,9868-1
668,1,4613985-1
671,1,TRUNINJAGO-1
673,1,3671-1
674,1,706-1
676,1,30106-1
678,1,485-2
680,1,608-2
681,1,60116-1
682,1,8533-1
686,1,8693-1
687,1,75041-1
688,1,1247-2
690,1,445-2
691,1,3752-1
692,1,8448-1
694,1,700.C-1
695,1,65514-1
696,1,2856238-1
697,1,4586940-1
698,1,870-1
699,1,850998-1
701,1,75100-1
702,1,1118-1
703,1,75912-1
705,1,733-1
707,1,7856-1
708,1,65071-1
710,1,6637-1
712,1,7881-1
716,1,418-2
718,1,1239-2
722,1,30255-1
723,1,711-1
725,1,9940-1
728,1,6886-1
731,1,6737-1
732,1,8609-1
734,1,60017-1
735,1,4485-1
736,1,60099-1
737,1,852747-1
738,1,7920-1
740,1,70401-1
741,1,619-1
742,1,5887-1
745,1,8706-1
747,1,5961-1
751,1,6621-1
752,1,60143-1
753,1,70106-1
754,1,3815-1
755,1,2516-1
756,1,852769-1
758,1,WWGP-1
760,1,1915-1
761,1,808-1
762,1,7838-1
763,1,7235-2
764,1,8956-1
766,1,7958-1
768,1,5086-1
769,1,4659612-1
771,1,7906-1
772,1,5115-1
773,1,7035-1
774,1,6380-1
775,1,1521-1
776,1,6313-1
777,1,7623-1
779,1,5370a-1
780,1,4477-1
782,1,920-2
783,1,8113-1
786,1,30016-1
788,1,7654-1
789,1,5616-1
791,1,4818-1
792,1,1102-1
793,1,9002052-1
794,1,8501-1
795,1,8270-1
796,1,6042-1
799,1,487-1
800,1,4019-1
801,1,7593-1
802,1,215-2
803,1,8680-1
804,1,210-2
