inventory_id,set_num,quantity
35,75911-1,1
35,75912-1,1
39,75048-1,1
39,75053-1,1
50,4515-1,1
50,4520-1,2
50,4531-1,1
71,7690-1,1
71,7691-1,1
71,7692-1,1
71,7693-1,1
71,7694-1,1
71,7695-1,1
71,7697-1,1
81,8451-1,1
81,8453-1,1
87,10233-1,1
87,88002-1,1
87,8870-1,1
87,8878-1,1
87,8879-1,1
87,8884-1,1
87,8887-1,1
104,4103-1,1
104,4782-1,1
122,7238-1,1
122,7890-1,1
122,7944-1,1
131,7634-1,1
131,7635-1,1
131,7684-1,1
251,3886-2,1
309,4515-1,7
309,4520-1,5
309,4531-1,3
311,8593-1,1
311,8596-1,1
398,71010-1,1
398,71010-10,1
398,71010-11,1
398,71010-12,1
398,71010-13,1
398,71010-14,1
398,71010-15,1
398,71010-16,1
398,71010-2,1
398,71010-3,1
398,71010-4,1
398,71010-5,1
398,71010-6,1
398,71010-7,1
398,71010-8,1
398,71010-9,1
473,8756-1,1
473,8762-1,1
500,9677-1,1
500,9678-1,1
500,9679-1,1
515,3741-1,1
515,3745-1,1
525,7121-1,1
525,7151-1,1
528,6604-1,1
528,6622-1,1
528,6633-1,1
561,4515-1,1
561,4520-1,2
580,3402-1,2
580,3403-1,1
580,3406-1,1
580,3408-1,1
580,3409-1,1
612,4500-1,1
612,4504-1,1
614,9441-1,1
614,9442-1,1
614,9591-1,1
695,8607-1,1
695,8611-1,1
695,8614-1,1
695,8616-1,1
695,8618-1,1
708,4180878,1
708,8560-1,1
708,8564-1,1
710,8602-1,1
710,8606-1,1
710,8614-1,1
710,8615-1,1
710,8616-1,1
758,6712-1,1
758,6716-1,1
758,6755-1,1
889,9490-1,1
889,9492-1,1
889,9496-1,1
908,7030-1,1
908,7031-1,1
908,7032-1,1
908,7033-1,1
908,7034-1,1
908,7035-1,1
909,1557-1,1
909,1558-1,1
916,76029-1,1
916,76030-1,1
916,76031-1,1
916,76032-1,1
916,76038-1,1
916,76041-1,1
920,9674-1,1
920,9675-1,1
920,9676-1,1
962,7990-1,1
962,7991-1,1
962,7993-1,1
973,8870-1,1
973,8878-1,1
973,8879-1,1
973,8882-1,1
973,8884-1,1
973,8887-1,1
994,4096-1,1
994,4100-1,1
1130,20203-1,1
1130,20204-1,1
1130,20205-1,1
1131,8762-1,1
1131,8763-1,1
1159,71000-1,1
1159,71000-10,1
1159,71000-11,1
1159,71000-12,1
1159,71000-13,1
1159,71000-14,1
1159,71000-15,1
1159,71000-16,1
1159,71000-2,1
1159,71000-3,1
1159,71000-4,1
1159,71000-5,1
1159,71000-6,1
1159,71000-7,1
1159,71000-8,1
1159,71000-9,1
1203,5928-1,1
1203,5938-1,1
1203,5988-1,1
1205,7239-1,1
1205,7733-1,1
1238,6800-1,1
1238,6818-1,1
1238,6836-1,1
1255,8621-1,1
1255,8622-1,1
1255,8623-1,1
1268,6837-1,1
1268,6905-1,1
