fig_num,name,num_parts
fig-000001,Toy Store Employee,4
fig-000002,Customer Kid,4
fig-000003,"Assassin Droid, White",8
fig-000004,Basic Figure,4
fig-000005,Captain America with Short Legs,3
fig-000006,Lloyd Avatar,5
fig-000007,Lloyd / Digi Lloyd - Katana Holders,5
fig-000008,Wonder Woman,4
fig-000009,The Flash,4
fig-000010,Batman,5
fig-000011,Captain Cold,4
fig-000012,Truck Driver,4
fig-000013,Gorilla Grodd,5
fig-000014,Batgirl,5
fig-000015,Sir Fangar,7
fig-000016,Stealthor,6
fig-000017,Gorzon,6
fig-000018,Alien,3
fig-000019,"UFO Alien, Blue",5
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",5
fig-000021,Krusty the Clown (CMF),3
fig-000022,Chicken Suit Guy,4
fig-000023,Warrior Woman,4
fig-000024,Race Car Driver (CMF),4
fig-000025,Conquistador,6
fig-000026,Firox,10
fig-000027,"UFO Alien, Red",5
fig-000028,Hulk,4
fig-000029,"Harry Potter, Open Dark Blue Jacket over White Shirt, Dark Bluish Gray Legs",4
fig-000030,Space Police II,6
fig-000031,Street Skater,4
fig-000032,Batman,5
fig-000033,"Red Torso, Dark Blue Legs, White Helmet",4
fig-000034,Aquanaut 2,7
fig-000035,Milhouse Van Houten (CMF),3
fig-000036,Crazy Scientist,4
fig-000037,Pop Star (CMF),4
fig-000038,"Woman, Dark Bluish Gray Jacket with Magenta Scarf, White Legs, Black Hair",4
fig-000039,"Policeman, Black Jacket with Zipper, White Helmet (3842a Helmet)",4
fig-000040,"Man, Plain White Torso, Blue Legs, Light Gray Cowboy Hat",4
fig-000041,Ralph Wiggum,3
fig-000042,Ralph Wiggum (CMF),3
fig-000043,Dr. Kilroy in Dark Gray Suit,4
fig-000044,"Basketball Player, Violet Torso, violet Legs 3",3
fig-000045,"Policeman, Black Jacket with Pocket and Badge, White Hat, Glasses",4
fig-000046,Surfer (CMF),4
fig-000047,Tomahawk Warrior,4
fig-000048,"Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Orange Legs, Red Hard Hat, Brown Eyebrows",4
fig-000049,LEGO Store Employee,4
fig-000050,Apu Nahasapeemapetilon (CMF),3
fig-000051,"Worker, Orange Overalls over Blue Sweater, Red Hard Hat",4
fig-000052,"Policeman, Black Suit with Badge, White Hat, Scowl",4
fig-000053,"Pirate - Blue Jacket, Black Legs, Brown Tricorne",4
fig-000054,"Clone Pilot, Phase I Armor, Plain Black Head",4
fig-000055,Itchy,3
fig-000056,"Clone Trooper Lieutenant, Dark Azure Markings, Plain Legs",4
fig-000057,Archer (Fright Knights),5
fig-000058,"Clone Trooper, Phase I Armor, Angry, Plain Legs",4
fig-000059,"Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Green Legs, Black Cap, Beard and Glasses",4
fig-000060,Edna Krabappel (CMF),4
fig-000061,Blacktron II - 3626a Head,6
fig-000062,Blacktron II - 3626b Head,6
fig-000063,Scratchy (CMF),4
fig-000064,"Clone ARC Trooper, Dark Red Markings (Episode 3)",4
fig-000065,M:Tron,6
fig-000066,Waiter,4
fig-000067,"Man, Green V-Neck Sweater, Light Bluish Gray Legs, Beard",4
fig-000068,Chief Wiggum (CMF),3
fig-000069,"Ninja, White",4
fig-000070,Space Police I,6
fig-000071,Exploriens Droid with Helmet,5
fig-000072,"Knight (Breastplate on Black) - Black Legs, Armor, Red Dragon Plume",9
fig-000073,"Chef, Red Neckerchief, Light Bluish Gray Legs, Goatee Beard",4
fig-000074,"Man, Green Jacket, Green Legs, Green Cap, Sunglasses",4
fig-000075,"Stormtrooper, Plain Black Head, Pauldron and Neck Bracket",11
fig-000076,"Futuron Spaceman, Black with Airtanks and Dark Blue Visor",6
fig-000077,"Doctor, White Shirt with Star of Life Logo, Blue Cap, Glasses",4
fig-000078,"Nute Gunray, Dark Red Robe",4
fig-000079,"Astronaut, White, White Hips, Helmet with Large Chrome Gold Visor, Headset",5
fig-000080,Pretzel Girl (CMF),5
fig-000081,Waylon Smithers (CMF),3
fig-000082,Yeti (CMF),3
fig-000083,Fangdam,3
fig-000084,"Blue Torso, Light Grey Legs, Black Hair",4
fig-000085,"Race Driver, Red Torso, Red Legs, Black Helmet, Zonic",5
fig-000086,"UFO Droid, Blue",3
fig-000087,"Fireman, Black Fire Jacket with Reflective Stripes, Radio, and Badge, White Helmet with Visor, Cheek Lines",5
fig-000088,"Futuron Spaceman, Yellow with Airtanks and Dark Blue Visor",6
fig-000089,Video Game Guy (CMF),4
fig-000090,"Coast Guard, Yellow Jacket with Zipper, Radio and Badge, Light Bluish Gray Helmet, Yellow Life Vest, Sunglasses",5
fig-000091,"Snowtrooper, Light Bluish Gray Hips, Printed Black Head, White Hands",4
fig-000092,Marsha Queen of the Mermaids (CMF),4
fig-000093,Ogel with Trans-red Hook,6
fig-000094,Dr. Hibbert (CMF),3
fig-000095,"Pilot, Blue Jacket with Plane Logo and Blue Tie, Blue Hat, Goatee Beard",4
fig-000096,Dash with Black Flippers,8
fig-000097,"Knight (Knights Kingdom I) - Cedric the Bull, Chrome Helmet, Horn",5
fig-000098,"Douglas Elton / El Fuego, Green Outifit - Possessed Form",9
fig-000099,"Astronaut, White, Light Gray Hips, Helmet with Breastplate and Large Chrome Gold Visor, Headset",5
fig-000100,"Man, Blue Torso, Black Legs, Red Hard Hat",4
fig-000101,"Man, Blue Overalls over Shirt, Red Hard Hat, Orange Vest, Orange Sunglasses",5
fig-000102,"Space Port Ground Grew, White Jacket, Black Legs, White Hard Hat, Beard and Glasses",4
fig-000103,"Astronaut, White, Light Gray Hips, Helmet with Large Chrome Gold Visor, Headset",5
fig-000104,"Racer, Plain Black, White Helmet (3842b Helmet)",4
fig-000105,"Spaceman, Doc",5
fig-000106,"Blacktron II - Jetpack, 3626a Head",8
fig-000107,"Blacktron II - Jetpack, 3626b Head",8
fig-000108,"Policeman, Black Jacket with Zipper, Radio, and Badge, White Hat, Sunglasses",4
fig-000109,Cole (The Golden Weapons),4
fig-000110,Mermaid,4
fig-000111,Zane DX,4
fig-000112,LEGOLAND Red with Black hat,4
fig-000113,Ice Planet - White Hair,6
fig-000114,Spyrius,6
