rel_type,child_part_num,parent_part_num
M,3192a,3192
A,50990b,50990a
P,27382pr0005,27382
P,3298pr0033,3298
R,4109154pr0002,4109154pr0001
P,19729pr0030,19729
P,3070bpr0036,3070b
P,6180pr0011,6180
P,76371pr0109,76371
B,43464,6282
P,3626cpr1951,3626c
P,3626cpr9970,3626c
P,76371pr0112,76371
P,3069bpr0235,3069b
P,3626cpr1162,3626c
P,3626cpr3305,3626c
P,3010pr0037,3010
P,3626cpr2695,3626c
P,3010pr0038,3010
P,3626cpr2705,3626c
P,2586pr0025,2586
P,3626cpr2617,3626c
P,3626cpr1952,3626c
P,87079pr9996,87079
R,19215,56145
M,30361pr0017,30361cpr0002
P,970c00pr1352,970c00
P,3626cpr3306,3626c
P,3678bpr0046,3678b
P,32086pr0001,32086
P,60581pr9998,60581
M,92950,3455
P,14732pr0003,14732
P,3626cpr9968,3626c
A,11954,62531
P,76371pr0104,76371
P,31110pr0019,31110
R,2648,2649
P,3626cpr9976,3626c
B,54129,upn0366
B,upn0364pr0001,upn0366
P,3004pr0004,3004
P,3069bpr0015,3069b
P,3678bpr0061,3678b
P,3069bpr0220,3069b
A,scafig0013pr0002,scafig0013pr0001
P,27382pr0002,27382
P,2302pr0009,2302
P,3623pr0019,3623
P,3622pr0029,3622
P,4066pr0129,4066
P,4740pr0001,4740
P,31110pr0110,31110
P,21271pr0001,21271
P,11344pr0009,11344
P,98223pr0022,98223
P,3011pr1012,3011
P,4198pr0005,4198
P,4198pr0012,4198
P,31110pr0115,31110
P,3011pr9999,3011
P,88760c01pr0005,88760
P,30183pr0001,30183
P,6180pr0012,6180
M,60607,2529
P,31213pr0005,31213
P,3010pr9969,3010
P,41970pr0001,41970
P,3626cpr1682,3626c
P,3004pr0039,3004
P,970c00pr0277,970c00
T,15678pat0002,15678
P,2431pr0129,2431
P,11477pr0006,11477
P,4066pr0011,4066
P,98345pr0001,98345
P,4066pr0012,4066
P,35787pr0001,35787
A,2318c01,2318c02
P,31110pr0013,31110
P,3005pr0018,3005
R,3982,2312c03
P,3069bpr0242,3069b
P,4066pr0014,4066
M,18759,2341
P,973pr1160c01,973c00
P,85983pr0002,85983
P,3678bpr0036,3678b
B,4071,4071c03
A,53406,75542
T,57551pat0001,57551
T,53549pat0001,53549
T,53549pat0002,53549
T,53983pat0001,53983
P,3004pr0035,3004
P,3003pr0004,3003
M,54672,30540
P,970c00pr1581,970c00
P,970c00pr9984,970c00
P,76371pr0105,76371
P,3678bpr0064,3678b
P,3678bpr0056,3678b
P,18990pr0001,18990
R,2648,3464
B,54128,upn0366
P,3626cpr1314,3626c
P,3626cpr1290,3626c
B,30460,4465c01
P,3626cpr1289,3626c
B,30462,4465c01
P,3626cpr1291,3626c
B,4071,4071c02
P,973pr0295c01,973c00
P,973pr2171c01,973c00
P,3626cpr1191,3626c
M,3626bpr1542,3626cpr1542
M,3193a,3193
P,3660pr0004,3660
P,3846pr0012,3846
P,4162pr0055,4162
P,3626cpr1208,3626c
A,30599,30598
P,24093pr0012,24093
P,3626cpr2450,3626c
P,3626cpr2468,3626c
P,3245cpr0142,3245c
P,973c27h01pr5192,973c27h01
P,973pr4096c01,973c00
P,22385pr1003,22385
P,32474pr1015,32474
P,26603pr0012,26603
P,3626cpr2519,3626c
P,970c00pr1474,970c00
P,3626cpr1194,3626c
P,3626cpr2520,3626c
P,973pr4189c01,973c00
P,3069bpr0257,3069b
P,973c12h12pr4138,973c12h12
P,3626cpr2490,3626c
P,3678bpr0076,3678b
P,970c00pr0502,970c00
P,973c14h12pr5188,973c14h12
P,970c00pr1456,970c00
P,50955pr0001,50955
P,970c00pr1447,970c00
P,3626cpr2526,3626c
M,60608,3854
P,3626cpr2527,3626c
P,970c00pr1479,970c00
P,3068bpr9982,3068b
M,3626bpr0839,3626cpr0839
M,87082,44874
M,67687,4600
M,6628b,6628
P,31111pr0004,31111
P,50747pr0015,50747
P,14769pr1093,14769
P,41751pr001,41751
P,24496pr0020,24496
P,973p70c01,973c00
P,98345pr0002,98345
R,73313,73312
P,3626cpr2472,3626c
R,3359,3358
P,93589pr0003,93589
P,3678bpr0053,3678b
M,3002a,3002
M,30554a,30554
A,53403,75541
P,98166pr0002,98166
B,41819,41819c01
T,53547pat0001,53547
P,3068bpr0109,3068b
P,14769pr1129,14769
P,6180pr0007,6180
P,973pr4081c01,973c00
P,973pr4048c01,973c00
P,973pr4082c01,973c00
P,973pr4074c01,973c00
A,84943,518
P,973pr4144c01,973c00
P,3626cpr2598,3626c
P,973pr4120c01,973c00
P,3626cpr2411,3626c
P,26603pr0020,26603
P,4198pr0009,4198
P,3626cpr2418,3626c
P,973pr4987c01,973c00
P,29050pr0283,29050
P,6180pr0008,6180
P,3626cpr2420,3626c
P,10907pr0002,10907
P,973c22h01pr0210,973c22h01
P,973pr4303c01,973c00
P,2446pr0017,2446
P,3626cpr2600,3626c
P,973pr4307c01,973c00
P,26486pr0001,26486
P,87606pr0002,87606
P,973c22h01pr2287,973c22h01
P,970c00pr9983,970c00
P,3626cpr2676,3626c
B,54131,upn0366
B,30456,30457c01
P,14769pr0016,14769
P,3069bpr0214,3069b
P,22385pr1006,22385
P,3626cpr2444,3626c
P,973c22h01pr1782,973c22h01
P,10830pat0001pr0001,10830pat0001
P,10154pr0006,10154
P,27382pr0007,27382
P,65633pr0002,65633
P,3437pr0129,3437
P,973c22h01pr0002,973c22h01
P,973c22h01pr1441,973c22h01
T,973c22h08,973c00
P,24496pr0023,24496
B,4071,4071c01
P,3010pr0039,3010
P,3010pr0040,3010
P,24496pr0022,24496
P,3626cpr2463,3626c
P,3068bpr0370,3068b
R,4132,4133
P,98345pr0003,98345
P,3035apr0001,3035a
T,15678pat0001,15678
P,3626cpr1013,3626c
M,90194,48183
P,6180pr0014,6180
P,3846pr0010,3846
P,93348pr0002,93348
B,4323,787c01
T,973c22h03,973c00
P,3062bpr0018,3062b
P,3626cpr1425,3626c
A,60212,3788
P,41751pr0004,41751
A,3069bpr0101,3069bpr0301
M,86035,4485
P,970c00pr9989,970c00
A,3749,43093
P,98166pr0001,98166
P,22385pr0042,22385
T,53548pat0001,53548
T,53983pat0002,53983
P,99243pr0001,99243
P,89974pr0001,89974
P,970c00pr0865,970c00
R,30294,30293
P,3626cpr1429,3626c
P,3626cpr1684,3626c
P,50956pr0001,50956
P,3626cpr1685,3626c
M,973c03h14pr9735,973c03h17pr0148
P,3626cpr1960,3626c
P,3678bpr0049,3678b
P,3626cpr1819,3626c
A,dupupn0089c02,dupupn0089c01
P,11198pr0001,11198
B,800,799c800
R,22890,14704
P,4066pr9999,4066
P,970c00pr2077,970c00
P,970c00pr1078,970c00
P,3004pr0017,3004
P,973c27h01pr4202,973c27h01
P,6180pr9999,6180
P,3068bpr0124,3068b
P,3626cpr1969,3626c
P,90398pr0014,90398
P,3070bpr0002,3070b
P,14769pr1001,14769
P,6180pr0016,6180
P,973pr2979c01,973c00
P,89974pr0002,89974
P,41751pr0007,41751
P,2431pr0124,2431
A,3673,2780
M,2991b,2991
P,6179pr0016,6179
P,19729pr0008,19729
P,4162pr0053,4162
R,50956pr0001,50955pr0001
P,3068bpr0930,3068b
P,19729pr0032,19729
B,54166,upn0366
P,2431pr0007,2431
P,3626cpr9975,3626c
P,970c00pr9932,970c00
P,3626cpr2451,3626c
P,973pr4051c01,973c00
P,3626cpr2440,3626c
P,3626cpr2453,3626c
P,970c00pr9906,970c00
P,3626cpr2464,3626c
P,970c00pr1417,970c00
P,3626cpr9867,3626c
M,16091,30663
P,3846pr0009,3846
B,4072,4071c03
P,87079pr0212,87079
P,973pr3005c01,973c00
P,3437pr0130,3437
P,3626bpr0571,3626b
P,973pr2973c01,973c00
P,973pr1813c01,973c00
P,6239pr0001,6239
R,31171,92094
P,973pr4060c01,973c00
P,30292pr0004,30292
P,3626cpr2507,3626c
P,970c00pr9929,970c00
P,970c00pr1467,970c00
P,970c00pr1465,970c00
P,973c01h01pr4899,973c01h01
R,685,upn0225
P,14769pr1126,14769
R,38871,36548
P,34172pr0001,34172
P,34172pr0003,34172
M,88489,4506
P,3678bpr0003,3678b
P,3626cpr2466,3626c
M,3660pr0004,3660pr0001
P,3069bpr0018,3069b
A,6161,47115
P,3626cpr2469,3626c
R,2790,2792
P,87997pr0001,87997
R,4466,4467
R,6565,6564
P,970c00pr0200,970c00
R,92099,92107
P,31111pr0006,31111
P,973c03h01pr0071,973c03h01
P,11233pr0002,11233
P,3626cpr9838,3626c
B,6626,5306b
P,24496pr0021,24496
R,18939,18938
P,3069bpr0303,3069b
P,63864pr0012,63864
A,11369pr0003,11369pr0001
P,67392pr0002,67392
M,4066pr0088,76371pr9998
B,6626,5306bc015
P,76371pr9998,76371
R,14417,14704
P,10202pr0007,10202
P,41751pr0006,41751
P,3070bpr0184,3070b
P,98165pr0011,98165
P,3004pr0060,3004
P,15875c01pr0022,15875
P,27382pr0001,27382
P,973pr2328c01,973c00
P,15429pr0009,15429
P,4490pr0004,4490
P,973c01h01pr1444,973c01h01
P,22385pr0086,22385
T,973c28h01,973c00
P,3069bpr0234,3069b
T,53544pat0001,53544
P,19729pr0031,19729
P,970c00pr1091,970c00
B,6626,5306bc069
P,3010pr0036,3010
P,87997pr0002,87997
P,11818pr0230,11818
P,26603pr0035,26603
B,54163,upn0366
A,3063b,3063a
P,973c01h01pr1213,973c01h01
M,29028,56630
R,55637a,55637b
P,973c01h01pr0182,973c01h01
P,973c01h01pr1409,973c01h01
P,973c01h01pr2851,973c01h01
P,973c01h01pr1654,973c01h01
P,973c01h01pr2030,973c01h01
P,973c01h01pr2415,973c01h01
P,973c01h01pr0804,973c01h01
R,47115,47376
R,685,upn0223
P,3004pr0061,3004
P,3622pr9999,3622
P,87079pr9988,87079
A,73090b,73090a
P,970c00pr1881,970c00
P,970c00pr9903,970c00
P,970c00pr1953,970c00
P,970c00pr1922,970c00
P,973pr2612c01,973d01
P,973pr2742c01,973d01
P,3626cpr9810,3626c
P,3626cpr9809,3626c
P,3626cpr9808,3626c
P,3626cpr9807,3626c
A,973c19h01pr0070,973p70c01
A,973c28h01pr0106,973c28h01pr1156
M,clikupn0035b,clikupn0035a
P,22385pr0089,22385
M,93571,32174
R,clikupn0001pr0018,45493
R,41768,41767
P,14769pr1011,14769
B,4072,4071c02
P,2362apr0003,2362a
P,6180pr0017,6180
R,3314,3433
P,3069bpr0292,3069b
A,64951,4424
P,22385pr0098,22385
A,92107,30041
P,3626cpr0839,3626c
P,20953pr0007,20953
A,10202,6881b
P,3626cpr2421,3626c
A,11618,96479
R,68577,23799
P,973c27h01pr9671,973c27h01
T,973c08h08,973c00
P,973pb0072c01,973c00
R,12614pr0001,12613pr0001
R,30294pat0001,30293pat0002
A,43362c01,71427c01
R,14417,14418
P,41751pr005,41751
P,3005pr0026,3005
P,50231pr0014,50231
P,973pb0074c02,973c00
P,3626cpr2422,3626c
P,98133pr0002,98133
P,3626cpr1069,3626c
R,55637a,55637c
M,6126a,6126
P,2431pr0156,2431
P,3626cpr2423,3626c
P,973c03h01pr0097,973c03h01
P,3622pr9998,3622
P,3626cpr2424,3626c
P,3626cpr2425,3626c
P,39739pr0005,39739
M,21841,19888
P,3626cpr1766,3626c
R,729,728
P,3626cpr2426,3626c
P,3626cpr2427,3626c
R,44352,44353
M,89652,60176
R,32534,32535
R,44350,44351
R,87080,87086
R,64392,64682
T,57557pat0001,57557
P,3626cpr2428,3626c
P,3626cpr2429,3626c
P,3626cpr2431,3626c
P,3626cpr2433,3626c
P,3626cpr2434,3626c
P,3626cpr2435,3626c
P,3062bpr9999,3062b
T,18868c01,18868c00
P,3626cpr1091,3626c
P,3008pr0001,3008
B,30456,4465c01
P,31111pr0007,31111
P,10057pr0002,10057
P,13808pr0001,13808
P,3070bpr0103,3070b
T,32505pat0001,32505
R,85205,85204
T,32567pat0001,32567
P,2431pr0123,2431
P,3626cpr2436,3626c
P,3626cpr9866,3626c
R,4219,4218
P,10057pr0001,10057
P,973pr1752c01,973c00
M,32062,3704
A,30042,92099
A,60115,6260
R,5048,4659b
P,970c00pr0867,970c00
P,15068pr0002,15068
