part_num,name,part_cat_id,part_material
003434,Sticker Sheet for Set 653-1,58,Cardboard/Paper
004219,"Sticker Sheet for Set 939-1 with flags for AU, IE",58,Plastic
004229,Sticker Sheet for Set 295-1,58,Plastic
004284,Sticker Sheet for Set 723-2,58,Plastic
004285,Sticker Sheet for Set 725-2,58,Plastic
004490,Sticker Sheet for Set 365-1,58,Plastic
004588,Sticker Sheet for Set 137-2,58,Plastic
004590,Sticker Sheet for Set 182-1,58,Plastic
004591,Sticker Sheet 1 for Set 1650-1,58,Plastic
004602,Sticker Sheet 2 for Set 1650-1,58,Plastic
004630,"Sticker Sheet for Sets 456-1, 666-1",58,Plastic
004632,"Sticker Sheet for Sets 369-1, 575-2",58,Plastic
004646,Sticker Sheet 1 for Set 709-1,58,Plastic
004740,Sticker Sheet 2 for Set 315-2,58,Plastic
004741,Sticker Sheet for Set 314-1,58,Plastic
004742,Sticker Sheet 1 for Set 315-2,58,Plastic
004848,Sticker Sheet for Set 394-1,58,Plastic
03497,Sticker Sheet for Set 1589-1,58,Cardboard/Paper
04324,"Sticker Sheet for Sets 600-2, 6600-1",58,Cardboard/Paper
0687b1,Activity Booklet 1 - Set 0687,17,Plastic
0901,Baseplate 16 x 30 with Set 080 Yellow House Print,1,Plastic
0902,Baseplate 16 x 24 with Set 080 Small White House Print,1,Plastic
0903,Baseplate 16 x 24 with Set 080 Red House Print,1,Plastic
0904,Baseplate 16 x 24 with Set 080 Large White House Print,1,Plastic
1,Homemaker Bookcase 2 x 4 x 4,7,Plastic
10,Baseplate 24 x 32 [Undetermined Type],1,Plastic
10000,Duplo Animal Brick 2 x 2 Elephant Head,4,Plastic
10010484,Sticker Sheet for Set 4200-1,58,Plastic
10010491,Sticker Sheet for Set 4202-1,58,Plastic
10010492,Sticker Sheet for Set 4203-1,58,Plastic
10016414,Sticker Sheet 1 for Set 41055-1,58,Plastic
10039,Pullback Motor 8 x 4 x 2/3,44,Plastic
10048,Minifig Hair Tousled,65,Plastic
10049,Minifig Shield Broad with Spiked Bottom and Cutout Corner,27,Plastic
10049pr0001,Minifig Shield Broad with Spiked Bottom and Cutout Corner with Handprint Print,27,Plastic
10050,Weapon Sword (Uruk-hai),27,Plastic
10051,Minifig Helmet Castle with Lateral Comb [Uruk-hai],65,Plastic
10051pr0001,Minifig Helmet Castle with Lateral Comb and Handprint Print,65,Plastic
10052,"Minifig Neckwear Beard, Rounded End [Gandalf]",27,Plastic
10053,Weapon Sword Small,27,Plastic
10054,Minifig Helmet with Cheek Protection and Horsehead Comb (Rohan Style),65,Plastic
10054pr0001,Minifig Helmet with Cheek Protection and Horsehead Comb (Rohan Style) with Eomer Print,65,Plastic
10054pr0002,Minifig Helmet with Cheek Protection and Horsehead Comb (Rohan Style) with Theoden Print,65,Plastic
10055pr0001,Minifig Hair Long Straight with Light Flesh Elf Ears Print,65,Plastic
10056pr0001,Minifig Helmet with Cheek Protection and Dark Red Ornaments Print,65,Plastic
10057,Body / Head Gollum,13,Plastic
10057pr0001,Body / Head Gollum - Wide Eyes,13,Plastic
10057pr0002,Body / Head Gollum - Narrow Eyes,13,Plastic
10058,"Arm, Bent [Gollum]",60,Plastic
10061,"Arm, Bigfig, Left",60,Plastic
10061pr0001,"Bigfig Arm, Left with Scales Print",60,Plastic
10062,"Hand Cave Troll, Left",60,Plastic
10063,"Arm, Bigfig, Right",60,Plastic
10063pr0001,"Bigfig Arm, Right with Scales Print",60,Plastic
10064,"Hand Cave Troll, Right",60,Plastic
10065,"Minifig Neckwear Beard, Full with Braided Moustache Ends",27,Plastic
10066pr0001,Minifig Hair Orc with Dark Tan Ears Print,65,Plastic
10066pr0002,Minifig Hair Orc with Olive Green Ears Print,65,Plastic
10066pr0003,Minifig Hair Orc with Medium Dark Flesh Ears Print,65,Plastic
10075cdb01,Backdrop for Set 10075 Spider-Man Action Pack,17,Cardboard/Paper
100954456,Sticker Sheet for Set 3184-1,58,Plastic
10095457,Sticker Sheet for Set 3186-1,58,Plastic
10099434,Sticker Sheet for Set 3063-1,58,Plastic
10099435,Sticker Sheet for Set 3185-1,58,Plastic
10111apr0006,"Duplo Figure with Headset and Cap Yellow, and Fireman Overalls Print",57,Plastic
10111pr0001,"Duplo Figure with Headset and Cap Black, with Dark Blue Legs, Badge Print, Black Arms, Light Flesh Hands (Police)",57,Plastic
10111pr0002,"Duplo Figure with Headset and Cap Yellow, with Dark Blue Arms, and Legs, Yellow Knee Pads Print, and Yellow Vest with ID Badge and Radio Print",57,Plastic
